Code	Line #	House	Room	Container	Object	Quantity	Value	Substrate	Trim or Accouterments	Contents	Size and Shape	Color	Condition	Function	Style	Gender	Owner	Other words	NumOther
1405-03 	5 	Et primo dixit se invenisse duas domos simul contiguas quarum una sita est in carreria Pelliparie stricte et altera in carreria Draparie Inferioris…. In quibus quidem domibus nunc adunitis in unam dixit se reperisse 	Primo in penore 						cum quatuor plethis cum suo torculari 		magnam 							Unam, tinam, vinariam 	3
1405-03 	6 	Et primo dixit se invenisse duas domos simul contiguas quarum una sita est in carreria Pelliparie stricte et altera in carreria Draparie Inferioris…. In quibus quidem domibus nunc adunitis in unam dixit se reperisse 	Primo in penore 		tinam 	aliam, quandam 			cum tribus plethis cum suo torculari 		parvam 								1
1405-03 	7 	Et primo dixit se invenisse duas domos simul contiguas quarum una sita est in carreria Pelliparie stricte et altera in carreria Draparie Inferioris…. In quibus quidem domibus nunc adunitis in unam dixit se reperisse 	Primo in penore 	vel 		unum 					capacitatis, milhayrolarum 	rubeo 						circa, plenum, vas, vino, xxiiii 	5
1405-03 	8 	Et primo dixit se invenisse duas domos simul contiguas quarum una sita est in carreria Pelliparie stricte et altera in carreria Draparie Inferioris…. In quibus quidem domibus nunc adunitis in unam dixit se reperisse 	Primo in penore 	vel 		alia, duo 					capacitatis, milhayrolarum 	rubeo 						circa, plena, quodlibet, vasa, viginti, vino 	6
1405-03 	9 	Et primo dixit se invenisse duas domos simul contiguas quarum una sita est in carreria Pelliparie stricte et altera in carreria Draparie Inferioris…. In quibus quidem domibus nunc adunitis in unam dixit se reperisse 	Primo in penore 	fol, vel 		alia, decem, duo 					capacitatis, milhayrolarum, parva 	rubeo 						circa, plena, quolibet, vasa, vino 	5
1405-03 	10 	Et primo dixit se invenisse duas domos simul contiguas quarum una sita est in carreria Pelliparie stricte et altera in carreria Draparie Inferioris…. In quibus quidem domibus nunc adunitis in unam dixit se reperisse 	Primo in penore 	botam 		sex, unam 					capacitatis, parvam 	albo 						milhayroarum, plenam, vino 	3
1405-03 	11 	Et primo dixit se invenisse duas domos simul contiguas quarum una sita est in carreria Pelliparie stricte et altera in carreria Draparie Inferioris…. In quibus quidem domibus nunc adunitis in unam dixit se reperisse 	Primo in penore 			duo 				vacua 								vasa, vinaria 	2
1405-03 	12 	Et primo dixit se invenisse duas domos simul contiguas quarum una sita est in carreria Pelliparie stricte et altera in carreria Draparie Inferioris…. In quibus quidem domibus nunc adunitis in unam dixit se reperisse 	Primo in penore 	botas 	quatuor 					vacuas 	parvas 								1
1405-03 	13 	Et primo dixit se invenisse duas domos simul contiguas quarum una sita est in carreria Pelliparie stricte et altera in carreria Draparie Inferioris…. In quibus quidem domibus nunc adunitis in unam dixit se reperisse 	Primo in penore 		discaricatoria 	unam 													1
1405-03 	14 	Et primo dixit se invenisse duas domos simul contiguas quarum una sita est in carreria Pelliparie stricte et altera in carreria Draparie Inferioris…. In quibus quidem domibus nunc adunitis in unam dixit se reperisse 	Primo in penore 		trahedoyram 	unam 													1
1405-03 	15 	Et primo dixit se invenisse duas domos simul contiguas quarum una sita est in carreria Pelliparie stricte et altera in carreria Draparie Inferioris…. In quibus quidem domibus nunc adunitis in unam dixit se reperisse 	Primo in penore 		imbutum 	unum 					magnum 								1
1405-03 	16 	Et primo dixit se invenisse duas domos simul contiguas quarum una sita est in carreria Pelliparie stricte et altera in carreria Draparie Inferioris…. In quibus quidem domibus nunc adunitis in unam dixit se reperisse 	Primo in penore 	bancum 		unum 		fusteum 											0
1405-03 	17 	Et primo dixit se invenisse duas domos simul contiguas quarum una sita est in carreria Pelliparie stricte et altera in carreria Draparie Inferioris…. In quibus quidem domibus nunc adunitis in unam dixit se reperisse 	Primo in penore 	pohayce, sive 	pro puteo 	unum 		ferratum 											1
